LAT,LONG,NAME
34.3678683,-85.079392,Enon School (historical)
34.0820428,-85.0780031,Jones School (historical)
33.2965067,-85.0768857,Ebenezer School (historical)
34.9042437,-85.0721715,Tiger Creek School
34.339258,-85.0718917,Model Elementary School
33.5837214,-85.0716112,College Street School
34.8772997,-85.0716158,Union Academy (historical)
34.7425799,-85.0713372,Fairview School
33.6334424,-85.0713339,Pine Grove School (historical)
33.5395557,-85.0704996,Central Middle School
33.5409445,-85.0699441,Central Primary School
33.552611,-85.0699442,Central High School
33.5403891,-85.0691107,Springview School
33.0331799,-85.0671612,Mount Beulah School (historical)
34.0026005,-85.0641138,Elm Street School
31.3560083,-85.0635399,Freeman School (historical)
33.0265133,-85.062161,Kight School
34.2762043,-85.0610581,Springdale School (historical)
34.2581494,-85.0605026,Johnson School
34.0020449,-85.0602248,Euharlee School
34.1192641,-85.0577247,Flint Hill School (historical)
31.1835131,-85.0568734,Good Hope School (historical)
33.0554016,-85.0566056,Hollis Hand School
33.0187358,-85.0557719,Jones Street School
33.4676131,-85.0549429,Mount Lowell School (historical)
34.7825792,-85.0516145,West Side School
34.7856348,-85.0505034,West Side High School
33.5676107,-85.0479994,Carroll County Vocational Technical School
33.7051076,-85.0480007,Harmony Grove School (historical)
31.6048903,-85.0468726,Clay County High School
33.0212358,-85.0457716,Southwest School
34.8459115,-85.0452258,Tunnel Hill School
34.9581318,-85.0443931,Salem School (historical)
33.0345688,-85.0441051,Westside Junior High School
31.6062792,-85.0438171,Fort Gaines Academy (historical)
32.9842924,-85.0424379,Pine View School (historical)
33.039291,-85.0424383,La Grange College
34.7320247,-85.0418916,Mill Creek Schoolhouse (historical)
34.2962038,-85.0413352,Wayside School (historical)
34.0017672,-85.0407799,Goodyear Elementary School
33.9987117,-85.0402243,Rockmart High School
33.0312356,-85.040216,Unity School
33.0084583,-85.0396602,Troup Technical School
33.8281603,-85.0388346,Draketown School (historical)
33.1229001,-85.0388278,Hillcrest Elementary School
32.0715443,-85.0388187,Florence School (historical)
32.816797,-85.0377141,Johnson School
33.5564999,-85.0374434,Oak Mountain Academy
33.5562221,-85.0371656,County Vocational School
33.0370688,-85.0368826,Harwell Avenue School (historical)
34.3778681,-85.0349461,Hickory Grove School (historical)
31.1499031,-85.0343732,Carver School
31.6104457,-85.0343723,Speight High School
33.046513,-85.0341049,La Grange High School
33.0540129,-85.0335493,Thomastown School
34.4034228,-85.0332793,Plainville Consolidated School (historical)
34.9325767,-85.0327259,Catoosa School
33.0095695,-85.0318822,Whitesville Road Middle School
33.647609,-85.0304997,Riverside School (historical)
33.6076099,-85.0277214,Shady Dell School (historical)
33.029569,-85.0266045,Cannon Street School
33.0423465,-85.0266046,Hill Street Junior High School
33.7320515,-85.0252225,Temple High School
32.6968009,-85.0249349,Mountain Hill School
34.4820317,-85.0238345,Oostanaula School (historical)
33.5598332,-85.0224431,Oak Mountain School (historical)
33.0429021,-85.0224378,Dawson Street School
33.0287357,-85.0221599,Kelly School
33.3417834,-85.0221627,Enon Grove School (historical)
34.4650878,-85.0216123,Georgia Cumberland Academy
31.3965631,-85.0215945,Sardis School (historical)
33.6070543,-85.0210546,Harris School (historical)
32.9604043,-85.0210482,Oak Grove School (historical)
33.032069,-85.0210488,Saint Elizabeth Mission School (historical)
33.0362356,-85.0179932,East Depot Street School
33.0348467,-85.0177154,La Grange Boys Junior High School
34.5620295,-85.0174457,Sugar Valley School
33.000681,-85.0163262,Troup County Comprehensive High School
33.3790046,-85.0088295,Pleasant Hill School (historical)
34.1706517,-85.0082787,Ligon School (historical)
33.0462354,-85.0082707,Dunson Mills School
34.3239808,-85.0080008,Dry Creek School (historical)
33.4220589,-85.00633,Spring View School (historical)
34.295926,-85.0055008,Barnsley School (historical)
33.5090011,-85.0054978,Union School (historical)
31.7309975,-85.0054827,Fairview School (historical)
34.241761,-85.0049452,Ransom School (historical)
34.7748018,-85.0027239,Dalton Junior College
34.4375886,-85.0007782,W L Swain School
34.7334138,-85.0005014,Dug Gap School
34.8770222,-84.9977244,Northwest High School
34.5045311,-84.9974447,Printup School (historical)
33.9223247,-84.9971673,Yorkville Elementary School
34.2031509,-84.9968894,Reynolds School (historical)
33.4506693,-84.9968856,Shiloh School (historical)
31.1104601,-84.9954838,Midway School (historical)
32.5015306,-84.9918765,Bibb City Elementary School
34.0928759,-84.9916118,Taylorsville School
32.4870866,-84.9896541,McLlhenny Elementary School
34.6809153,-84.9891119,Valley Point Middle School
32.4759759,-84.9885429,Sixteenth Street School
32.4756982,-84.9882651,Clatin Elementary School
32.1132098,-84.9879842,Mount Moriah School (historical)
33.2203978,-84.9871604,Harmonia School (historical)
32.5281963,-84.9871545,Brookstone School
